Number,Weather Station,Latitude,Longitude,Province
0,ATLANTIS,-33.61,18.48,Western Cape
1,CALVINIA WO,-31.48,19.76,Northern Cape
2,CAPE COLUMBINE,-32.83,17.86,Western Cape
3,CAPE POINT,-34.35,18.49,Western Cape
4,CAPE TOWN - ROYAL YACHT CLUB,-33.92,18.44,Western Cape
5,CAPE TOWN SLANGKOP,-34.15,18.32,Western Cape
6,EXCELSIOR CERES,-32.96,19.43,Western Cape
7,HERMANUS,-34.43,19.22,Western Cape
8,JONKERSHOEK,-33.97,18.92,Western Cape
9,KIRSTENBOSCH,-33.99,18.43,Western Cape
10,LADISMITH,-33.5,21.27,Western Cape
11,MOLTENO RESERVOIR,-33.94,18.41,Western Cape
12,PAARL,-33.72,18.97,Western Cape
13,PORTERVILLE,-33.01,18.98,Western Cape
14,ROBBENEILAND,-33.8,18.37,Western Cape
15,ROBERTSON,-33.79,19.9,Western Cape
16,S A ASTRONOMICAL OBSERVATORY,-33.93,18.48,Western Cape
17,STRUISBAAI,-34.8002,20.0569,Western Cape
18,TYGERHOEK,-34.15,19.9,Western Cape
19,WELLINGTON,-33.65,19.01,Western Cape
20,WORCESTER-AWS,-33.66,19.42,Western Cape
