2023-08-05 12:00:08,155 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:00:08,155 - all_stations - INFO - Remember that this ST-GNN model GWN trains all weather stations for each horizon, thus it will be 45 rows of data for each hour
2023-08-05 12:00:31,118 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:00:31,118 - all_stations - INFO - Remember that this ST-GNN model GWN trains all weather stations for each horizon, thus it will be 45 rows of data for each hour
2023-08-05 12:00:34,343 - all_stations - INFO - Epoch  1 | Train Time: 2.40s | Train Loss: 0.1862 | Validation Time: 0.7659 | Validation Loss: 0.1226 
2023-08-05 12:00:35,170 - all_stations - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-05 12:00:35,171 - all_stations - INFO - Saving the actual vs predicted comparison to a CSV file.
2023-08-05 12:00:37,942 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 0 - Actual: 0.5166162848472595, Predicted: 0.13470783829689026
2023-08-05 12:00:40,294 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 1 - Actual: 0.4864048361778259, Predicted: 0.12943215668201447
2023-08-05 12:00:42,623 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 2 - Actual: 0.4592145085334778, Predicted: 0.09215278178453445
2023-08-05 12:00:44,987 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 3 - Actual: 0.44108760356903076, Predicted: 0.19520296156406403
2023-08-05 12:00:47,358 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 4 - Actual: 0.395770400762558, Predicted: 0.13015437126159668
2023-08-05 12:00:49,948 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 5 - Actual: 0.3806646466255188, Predicted: 0.09127101302146912
2023-08-05 12:00:52,427 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 6 - Actual: 0.3806646466255188, Predicted: 0.16660718619823456
2023-08-05 12:00:54,748 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 7 - Actual: 0.365558922290802, Predicted: 0.197440043091774
2023-08-05 12:00:57,078 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 8 - Actual: 0.37764349579811096, Predicted: 0.06762820482254028
2023-08-05 12:00:59,324 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 9 - Actual: 0.38368579745292664, Predicted: 0.19460448622703552
2023-08-05 12:01:01,547 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 10 - Actual: 0.3716011941432953, Predicted: 0.13483433425426483
2023-08-05 12:01:03,765 - all_stations - INFO - Date 2010-01-01 00:00:00 Index 11 - Actual: 0.4108761250972748, Predicted: 0.11704492568969727
